Año,Mes,Aeropuerto,Infraestructura,NPI,NPN,TUUAN_VER,TUUAN,TUUAI_VER,TUUAI,IRAD_VER,IRAD,AADM_VER,AADM,ADEP_VER,ADEP,ALC_VER,ALC,AOOA_VER,AOOA,ADAH_VER,ADAH,AEHE_VER,AEHE,IREA_VER,IREA,IRIF_VER,IRIF,IRR_VER,IRR,Entidad_Infraestructura
2022,Junio,Lima,AAP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Aeropuertos Andinos del Perú S.A.
2022,Junio,Lima,ADP,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Si,163304.28,No,0,Aeropuertos del Perú S.A.
2022,Junio,Lima,LAP,516746,910725,Si,4390389.39,Si,6526106.79,Si,2270500.15,No,0,No,0,No,0,No,0,No,0,No,0,Si,248095.13,No,0,No,0,Lima Airport Partners S.R.L.
2022,Junio,Mazamari,COR,0,910,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,Nazca,COR,0,9370,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,CORPAC S.A.
2022,Junio,No precisa,COR,0,0,Si,662936.8200000001,Si,251.37,Si,211392.78,No,0,Si,1878.59,Si,5401.2,Si,1381.34,Si,8525.93,Si,166700.93,Si,531.08,No,0,No,0,CORPAC S.A.
2022,Junio,Pisco,ADP,32,1908,Si,4000.52,Si,168.6,Si,1791.35,No,0,No,0,Si,211.21,No,0,Si,3262.71,No,0,Si,253.86,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Piura,ADP,19,71055,Si,148575.11000000002,Si,154.55,Si,64328.65,No,0,Si,11212.56,Si,11243.89,Si,166.39,Si,2775.9500000000003,No,0,Si,55.33,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Pucallpa,ADP,0,50463,Si,109514.48,No,0,Si,27983.47,No,0,Si,422.76,Si,5096.18,Si,828.09,Si,4777.6500000000005,No,0,Si,1981.17,No,0,No,0,Aeropuertos del Perú S.A.
2022,Junio,Puerto Maldonado,AAP,0,25910,Si,54523.7,No,0,Si,11261.28,No,0,Si,3118.4100000000003,Si,1426.66,Si,29,No,0,Si,8133.929999999999,Si,101.26,No,0,No,0,Aeropuertos Andinos del Perú S.A.
